2023-01-26 16:25:24.165067,628,58
2023-01-26 16:25:24.165067,319,242
2023-01-26 16:25:24.165067,239,313
2023-01-26 16:25:24.165067,385,310
2023-01-26 16:25:24.165067,564,234
2023-01-26 16:25:24.165067,231,171
2023-01-26 16:25:24.165067,270,154
2023-01-26 16:25:24.165067,380,166
2023-01-26 16:25:24.165067,304,46
2023-01-26 16:26:53.722401,635,363
2023-01-26 16:26:53.722401,630,60
2023-01-26 16:27:39.859890,329,152
2023-01-26 16:27:43.044403,21,236
2023-01-26 16:27:43.044403,19,114
2023-01-26 16:27:43.044403,17,37
2023-01-26 16:27:43.212233,19,10
2023-01-26 16:27:45.692647,22,233
2023-01-26 16:27:45.692647,20,94
2023-01-26 16:27:45.692647,19,25
2023-01-26 16:27:46.100638,19,10
2023-01-26 16:27:49.081199,19,80
2023-01-26 16:27:49.081199,18,27
2023-01-26 16:27:49.113137,28,332
2023-01-26 16:27:49.113137,29,137
2023-01-26 16:27:49.145130,45,356
2023-01-26 16:27:49.145130,45,202
2023-01-26 16:27:49.181102,40,230
2023-01-26 16:27:49.213172,29,367
2023-01-26 16:27:49.213172,23,211
2023-01-26 16:27:49.313210,23,304
2023-01-26 16:27:49.313210,22,137
2023-01-26 16:27:49.349150,43,265
2023-01-26 16:27:49.381979,43,176
2023-01-26 16:27:49.417155,37,367
2023-01-26 16:27:49.417155,25,169
2023-01-26 16:27:49.417155,17,7
2023-01-26 16:27:49.450122,26,459
2023-01-26 16:27:49.450122,26,425
2023-01-26 16:27:49.481189,23,318
2023-01-26 16:27:49.481189,21,128
2023-01-26 16:27:49.518135,30,354
2023-01-26 16:27:49.518135,29,134
2023-01-26 16:27:49.549186,42,365
2023-01-26 16:27:49.549186,38,191
2023-01-26 16:27:49.582162,41,283
2023-01-26 16:27:49.582162,32,126
2023-01-26 16:27:49.617239,36,362
2023-01-26 16:27:49.617239,25,142
2023-01-26 16:27:49.650228,32,435
2023-01-26 16:28:56.828595,630,54
2023-01-26 16:28:56.828595,318,242
2023-01-26 16:28:56.828595,239,313
2023-01-26 16:28:56.828595,384,310
2023-01-26 16:28:56.828595,513,237
2023-01-26 16:28:56.828595,563,235
2023-01-26 16:28:56.828595,269,154
2023-01-26 16:28:56.828595,231,172
2023-01-26 16:28:56.828595,379,167
2023-01-26 16:28:56.828595,303,46
2023-01-26 16:29:18.424191,638,478
2023-01-26 16:29:51.844914,621,46
2023-01-26 16:29:59.461003,621,42
2023-01-26 16:30:11.192065,638,282
